screen_name,date,text
Kejriwal,Thu Jan 26 23:06:13 +0000 2017,           
Amarinder,Thu Jan 26 19:27:25 +0000 2017,rt  today huge crowd joining congress in presence of manpreet singh badal and raninder singh   ht..
Kejriwal,Thu Jan 26 19:04:16 +0000 2017,rt          @Punjab history…
Kejriwal,Thu Jan 26 19:04:02 +0000 2017,rt           
Kejriwal,Thu Jan 26 18:52:11 +0000 2017,Your liquor shop runs? bottal        
Amarinder,Thu Jan 26 18:41:44 +0000 2017,rt  today huge crowd joining congress in presence of manpreet singh badal and raninder singh   ht..
Amarinder,Thu Jan 26 18:22:29 +0000 2017,rt  today huge crowd joining congress in presence of manpreet singh badal and raninder singh   ht..
Amarinder,Thu Jan 26 18:22:25 +0000 2017,rt  today huge crowd joining congress in presence of manpreet singh badal and raninder singh   ht..
Amarinder,Thu Jan 26 18:13:58 +0000 2017,rt  today huge crowd joining congress in presence of manpreet singh badal and raninder singh   ht..
Kejriwal,Thu Jan 26 18:12:22 +0000 2017,         
Amarinder,Thu Jan 26 18:08:37 +0000 2017,rt  today huge crowd joining congress in presence of manpreet singh badal and raninder singh   ht..
Amarinder,Thu Jan 26 17:57:27 +0000 2017,today huge crowd joining congress in presence of manpreet singh badal and raninder singh    
Kejriwal,Thu Jan 26 17:43:56 +0000 2017,has brought in outsiders to destroy state's punjabiyat:    
Amarinder,Thu Jan 26 17:43:56 +0000 2017,has brought in outsiders to destroy state's punjabiyat:    
Amarinder,Thu Jan 26 17:10:19 +0000 2017,rt  We do not do our work speaks          
Amarinder,Thu Jan 26 17:03:29 +0000 2017,rt  former rti commissioner joins punjabpcc in capt_amarinder presence in patiala     
Kejriwal,Thu Jan 26 16:43:00 +0000 2017,can't agree more       
Kejriwal,Thu Jan 26 16:31:11 +0000 2017,rt  we have all seen assets of elected representatives grow exponentially after coming to power.\n\nthis is new..\n\nhonestpoli..
Kejriwal,Thu Jan 26 15:07:16 +0000 2017,         
Amarinder,Thu Jan 26 14:31:09 +0000 2017,rt  Tomorrow Congress candidate will address a huge rally in favor of Gurkirat Singh  https:..
Kejriwal,Thu Jan 26 14:09:59 +0000 2017,inqlab jindabd
Amarinder,Thu Jan 26 12:02:48 +0000 2017,rt  bjp ludhiana leader iqbaljit s ladhowal joinspunjabpcc in capt_amarinder presence    
Badal,Thu Jan 26 11:52:28 +0000 2017,SAD-BJP ally will sold sugar rs. 10/kg When the Government was then why not?     
Kejriwal,Thu Jan 26 11:41:01 +0000 2017,how much seats aap will win in goa ?
