screen_name,date,text
Kejriwal,Tue Jan 31 17:11:02 +0000 2017,rt          h s pho..
Amarinder,Tue Jan 31 17:04:12 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
Amarinder,Tue Jan 31 16:57:04 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
Amarinder,Tue Jan 31 16:56:31 +0000 2017,         so true gurpreet
Kejriwal,Tue Jan 31 16:55:29 +0000 2017,        h s phoolka jee zindabaad
Kejriwal,Tue Jan 31 16:55:28 +0000 2017, mr arvindkejriwal  backs bhagwantmann 4 drugs free punjab\nyugpurush irony f punjab \n   
Amarinder,Tue Jan 31 16:53:22 +0000 2017,rt  kaurtooncapt_amarinder @ArvindKejriwal voters punjabpoll punjabelections2017    
Kejriwal,Tue Jan 31 16:53:22 +0000 2017,rt  kaurtooncapt_amarinder @ArvindKejriwal voters punjabpoll punjabelections2017    
Amarinder,Tue Jan 31 16:24:49 +0000 2017,rt  stupendous response in malout muktsar to  public rallies      
Kejriwal,Tue Jan 31 16:20:00 +0000 2017,aap hits back at sad for frivolous complaint against         
Badal,Tue Jan 31 16:20:00 +0000 2017,aap hits back at sad for frivolous complaint against         
Kejriwal,Tue Jan 31 16:13:44 +0000 2017,AAPPunjab2017 officeofssbadal is liar
Badal,Tue Jan 31 16:13:44 +0000 2017,AAPPunjab2017 officeofssbadal is liar
Amarinder,Tue Jan 31 15:58:23 +0000 2017,       corruptcongress punjabnotaprincelystate maharaja
Kejriwal,Tue Jan 31 15:44:34 +0000 2017,   flying kiss2 female supporters madam sry bt u sound a lil despo.nowhere else seen ds
Amarinder,Tue Jan 31 15:42:53 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
Amarinder,Tue Jan 31 15:41:04 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
Amarinder,Tue Jan 31 15:33:46 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
Badal,Tue Jan 31 15:30:02 +0000 2017,bki remark: kirtani jatha spokesman files libel suit against sukhbir badal   
Kejriwal,Tue Jan 31 15:21:53 +0000 2017,   bull shit
Amarinder,Tue Jan 31 15:20:26 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
Amarinder,Tue Jan 31 15:19:36 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Tue Jan 31 15:15:56 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Kejriwal,Tue Jan 31 15:15:01 +0000 2017,migrant labourers hired by aap for publicity in jalandhar  \n    
Kejriwal,Tue Jan 31 15:14:07 +0000 2017,aap wants to rule in punjab with the help of militants: smriti irani      
Kejriwal,Tue Jan 31 15:10:10 +0000 2017,rt  aap shares fake survey. shameonaap       
Amarinder,Tue Jan 31 16:24:49 +0000 2017,rt  stupendous response in malout muktsar to  publicrallies      
