screen_name,date,text
Kejriwal,Sat Feb 04 17:50:15 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:50:15 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 17:50:15 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:32:09 +0000 2017,    how true
Kejriwal,Sat Feb 04 17:32:09 +0000 2017,    how true
Amarinder,Sat Feb 04 17:30:01 +0000 2017,captain dismisses aap as social media hype    
Kejriwal,Sat Feb 04 17:30:01 +0000 2017,captain dismisses aap as social media hype    
Kejriwal,Sat Feb 04 17:22:27 +0000 2017, punjabelection2017 |  congratulates people of punjab for peaceful polls   
Kejriwal,Sat Feb 04 17:21:43 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:21:43 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 17:21:43 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:21:26 +0000 2017, aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Kejriwal,Sat Feb 04 17:18:31 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:18:31 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 17:18:31 +0000 2017, mansa district tops the chart in polling with 87.34%     
Kejriwal,Sat Feb 04 17:15:45 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:15:45 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 17:15:45 +0000 2017, mansa district tops the chart in polling with 87.34%     
Kejriwal,Sat Feb 04 17:03:47 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:03:47 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 17:03:47 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 17:00:02 +0000 2017,dismisses aap as social media hype
Kejriwal,Sat Feb 04 17:00:02 +0000 2017,dismisses aap as social media hype
Kejriwal,Sat Feb 04 16:59:51 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 16:59:51 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 16:59:51 +0000 2017, mansa district tops the chart in polling with 87.34%     
Kejriwal,Sat Feb 04 16:59:25 +0000 2017, mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 16:59:25 +0000 2017, mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 16:59:25 +0000 2017, mansa district tops the chart in polling with 87.34%     
Kejriwal,Sat Feb 04 16:57:37 +0000 2017,mansa district tops the chart in polling with 87.34%     
Amarinder,Sat Feb 04 16:57:37 +0000 2017,mansa district tops the chart in polling with 87.34%     
Badal,Sat Feb 04 16:57:37 +0000 2017,mansa district tops the chart in polling with 87.34%     
Kejriwal,Sat Feb 04 16:57:21 +0000 2017, congratulates people of punjab for peaceful polls
Amarinder,Sat Feb 04 16:45:00 +0000 2017,cong supporter shot at in tarn taran
Amarinder,Sat Feb 04 16:44:55 +0000 2017, aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Badal,Sat Feb 04 16:17:30 +0000 2017,    strangely dera head had claimed to stop drugs in punjab now backing drugs sellers groups?' 
Amarinder,Sat Feb 04 16:15:51 +0000 2017,complaint against sidhu for violating model code while casting vote in amritsar
Amarinder,Sat Feb 04 16:14:59 +0000 2017, after casting his vote
Amarinder,Sat Feb 04 16:07:51 +0000 2017,    ha ha ha' 
Amarinder,Sat Feb 04 16:07:19 +0000 2017,complaint against sidhu for violating model code while casting vote in amritsar    
