screen_name,date,text
Kejriwal,Thu Feb 02 20:52:45 +0000 2017,not badals but change. Many kings in dis world. Need such lovers who truly love the nation
Kejriwal,Thu Feb 02 18:51:30 +0000 2017,arvindkejriwal
Kejriwal,Thu Feb 02 18:39:38 +0000 2017, vote for your self power
Badal,Thu Feb 02 18:39:00 +0000 2017,save punjab vote  being indian
Kejriwal,Thu Feb 02 18:39:00 +0000 2017,save punjab vote  being indian
Kejriwal,Thu Feb 02 18:24:22 +0000 2017,ArvindKejriwal
Kejriwal,Thu Feb 02 18:24:05 +0000 2017,arvindkejriwal
Amarinder,Thu Feb 02 18:22:17 +0000 2017,patiala rural opens its arms and hearts to capt_amarinder on poll campaign eve     
Amarinder,Thu Feb 02 18:20:58 +0000 2017,capt_amarinder gets euphoric welcome from crowd in his patiala urban constituency during last leg of campaigning
Badal,Thu Feb 02 18:20:01 +0000 2017,faridkot couissues notice to sukhbir badal in 2006 attempt-to-murder case
Badal,Thu Feb 02 18:05:24 +0000 2017,like your going to get votes now. # inhumane URL 
Kejriwal,Thu Feb 02 17:53:50 +0000 2017,HTPunjab ArvindKejriwal htTweets
Kejriwal,Thu Feb 02 17:50:01 +0000 2017,rahul gandhi says arvindkejriwal helping forces who want to disturb peace
Amarinder,Thu Feb 02 17:45:02 +0000 2017,       good job brother' 
Amarinder,Thu Feb 02 17:44:42 +0000 2017,CongressPrince OfficeOfRG INCIndia sherryontopp capt_amarinder punjabpcc HTPunjab
Badal,Thu Feb 02 17:40:30 +0000 2017,now who is promoting derawad in punjab.. shame on akali_dal
Kejriwal,Thu Feb 02 17:29:30 +0000 2017,    real son is fearing the adopted one . hmm interesting' 
Kejriwal,Thu Feb 02 16:49:43 +0000 2017, see supporters of akalis wht sukhbir badal has done
Kejriwal,Thu Feb 02 16:39:50 +0000 2017, see supporters of akalis wht sukhbir badal has done
Badal,Thu Feb 02 16:30:01 +0000 2017,sad insincere towards respect of gurus and ethos: sikh bodies
Amarinder,Thu Feb 02 16:21:32 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Badal,Thu Feb 02 16:04:53 +0000 2017,thanks
Amarinder,Thu Feb 02 15:59:23 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 15:59:20 +0000 2017, aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Badal,Thu Feb 02 15:45:16 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Amarinder,Thu Feb 02 15:44:51 +0000 2017,  thanks patiala lawyers for supporting him in fight against extremist forces linked to   
Kejriwal,Thu Feb 02 15:44:51 +0000 2017,  thanks patiala lawyers for supporting him in fight against extremist forces linked to   
Badal,Thu Feb 02 15:44:31 +0000 2017,    only issue notices. spend tax payers money without any outcome. corrupt judicial system
Kejriwal,Thu Feb 02 15:25:04 +0000 2017,  he is man who want to be cm of all states &amp; also pm at the same time &amp; still he would run away blaming opposition
Badal,Thu Feb 02 15:16:31 +0000 2017,    ignore them aap..concentrate on congress
Amarinder,Thu Feb 02 15:01:46 +0000 2017, aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Thu Feb 02 14:55:19 +0000 2017,     sidhu sir is very very historical complete. c. m
Kejriwal,Thu Feb 02 14:45:01 +0000 2017,rahul gandhi says  helping forces who want to disturb peace
Amarinder,Thu Feb 02 14:40:51 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Badal,Thu Feb 02 14:17:59 +0000 2017,faridkot couissues notice to sukhbir badal in 2006 attempt-to-murder case
Amarinder,Thu Feb 02 13:49:10 +0000 2017, stupendous response in malout muktsar to  publicrallies      
Badal,Thu Feb 02 13:27:23 +0000 2017,   no one more than akalis is traitor to nation' 
Amarinder,Thu Feb 02 13:14:35 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Badal,Thu Feb 02 13:09:48 +0000 2017,sad insincere towards respect of gurus and ethos: sikh bodies
Badal,Thu Feb 02 12:26:51 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Amarinder,Thu Feb 02 11:46:33 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Badal,Thu Feb 02 11:37:23 +0000 2017, energetic suppoof punjabis to  candidates proves punjabsupportssukhbir    
Badal,Thu Feb 02 11:29:28 +0000 2017,   like your going to get votes now. inhumane URL 
Badal,Thu Feb 02 11:28:38 +0000 2017,    but as per badal there r no drug addicts?' 
Kejriwal,Thu Feb 02 11:07:10 +0000 2017,SChotepur says ArvindKejriwal conspired sting against him to finish politically    
Badal,Thu Feb 02 11:06:30 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Amarinder,Thu Feb 02 11:00:48 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Badal,Thu Feb 02 10:30:25 +0000 2017,   like your going to get votes now. inhumane URL 
Badal,Thu Feb 02 10:29:09 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Badal,Thu Feb 02 10:27:39 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Badal,Thu Feb 02 10:25:18 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Badal,Thu Feb 02 10:24:50 +0000 2017, 82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar  
Badal,Thu Feb 02 10:24:18 +0000 2017,82 bottles of liquor seized from house of hockey's golden girl and  leader rajbir kaur in jalandhar   
Amarinder,Thu Feb 02 10:17:04 +0000 2017, victory is definite only anouncement is pending
Amarinder,Thu Feb 02 10:13:52 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Badal,Thu Feb 02 09:47:52 +0000 2017,   like your going to get votes now. inhumane URL 
Badal,Thu Feb 02 09:27:27 +0000 2017,  like your going to get votes now. inhumane URL 
Badal,Thu Feb 02 09:25:24 +0000 2017,energetic suppoof punjabis to  candidates proves punjabsupportssukhbir    
Badal,Thu Feb 02 09:22:40 +0000 2017,energetic suppoof punjabis to  candidates proves punjabsupportssukhbir    
Amarinder,Thu Feb 02 08:57:37 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 08:51:12 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 08:44:34 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 08:44:05 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 08:43:58 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 08:23:07 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 08:10:49 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:43:07 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:28:58 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:27:49 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:20:26 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:19:28 +0000 2017,voting for captain is like voting for badal. loot and corr..
Amarinder,Thu Feb 02 07:19:01 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:12:46 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:12:43 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:09:01 +0000 2017, patiala rural opens its arms and hearts to  on poll campaign eve     
Amarinder,Thu Feb 02 07:08:41 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:06:01 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:03:14 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:02:33 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:02:21 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:01:39 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:01:27 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 07:00:25 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 06:59:44 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 06:59:23 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 06:58:40 +0000 2017,  takes off for last day of campaigning. also in the pix is his media strategist raveen thukral   
Amarinder,Thu Feb 02 06:58:29 +0000 2017, takes off for last day of campaigning. also in the pix is his media strategist raveen thukral
Amarinder,Thu Feb 02 06:40:16 +0000 2017, patiala rural opens its arms and hearts to  on poll campaign eve     
Amarinder,Thu Feb 02 06:40:01 +0000 2017,  gets euphoric welcome from crowd in his patiala urban constituency during last leg of campaigning  
Amarinder,Thu Feb 02 06:31:23 +0000 2017, patiala rural opens its arms and hearts to  on poll campaign eve     
Amarinder,Thu Feb 02 06:23:27 +0000 2017,  gets euphoric welcome from crowd in his patiala urban constituency during last leg of campaigning  
Amarinder,Thu Feb 02 06:23:12 +0000 2017, patiala rural opens its arms and hearts to  on poll campaign eve     
Badal,Thu Feb 02 05:16:14 +0000 2017,    as per my view  is very +ve person something best behind this all.
Kejriwal,Thu Feb 02 05:11:47 +0000 2017,    towards drug freedom. punjab style' 
Badal,Thu Feb 02 04:43:16 +0000 2017,    and some claim hamara desh badal raha hai..well its true politicos ve no conscience for country
Badal,Thu Feb 02 03:03:09 +0000 2017,    sad to see the religious people fall offline. their inner conscious is fake
Amarinder,Thu Feb 02 03:02:24 +0000 2017, victory is definite only anouncement is pending
